ages,male_AF_left-volume_0.025_centile,male_AF_left-volume_0.5_centile,male_AF_left-volume_0.975_centile,female_AF_left-volume_0.025_centile,female_AF_left-volume_0.5_centile,female_AF_left-volume_0.975_centile
66.69259259259259,16113.164999660787,33601.654729227645,45276.218872900194,16238.843195382155,32606.915911568158,43537.052623058014
66.78258258258258,16101.481062749894,33592.13424466376,45268.17232057897,16227.562471456633,32597.819509413355,43529.310846721564
66.87257257257258,16089.805581914454,33582.62665866661,45260.14331022237,16216.28990806674,32588.73565740177,43521.58595170512
66.96256256256257,16078.138546097089,33573.131958309496,45252.131829993705,16205.025494311343,32579.66434315002,43513.877926620225
67.05255255255256,16066.479944230741,33563.6501306286,45244.13786800539,16193.769219278694,32570.60555423852,43506.186760029166
67.14254254254254,16054.829765238714,33554.181162622895,45236.16141231876,16182.521072046777,32561.55927821196,43498.512440445695
67.23253253253253,16043.1879980352,33544.72504125517,45228.20245094542,16171.281041683402,32552.52550257948,43490.854956335126
67.32252252252252,16031.554631525512,33535.281753452386,45220.26097184767,16160.04911724688,32543.50421481587,43483.214296115955
67.4125125125125,16019.929654606316,33525.85128610613,45212.33696293915,16148.825287785954,32534.495402361383,43475.590448159644
67.50250250250251,16008.313056166071,33516.43362607337,45204.43041208577,16137.609542340302,32525.49905262264,43467.98340079168
67.5924924924925,15996.704825085151,33507.02876017662,45196.541307105974,16126.401869940837,32516.515152973123,43460.393142292334
67.68248248248248,15985.10495023636,33497.636675204965,45188.669635772,16115.202259609867,32507.543690753486,43452.819660897
67.77247247247247,15973.513420484975,33488.25735791403,45180.815385809896,16104.010700361501,32498.584653272184,43445.26294479698
67.86246246246246,15961.93022468921,33478.89079502681,45172.978544900594,16092.827181201872,32489.638027805937,43437.722982140134
67.95245245245245,15950.355351700415,33469.53697323411,45165.15910068047,16081.651691129478,32480.703801600244,43430.199761031494
68.04244244244245,15938.78879036343,33460.19587919508,45157.35704074198,16070.484219135442,32471.78196186986,43422.693269533964
